year,dept,female_count,total_count,female_pct
1984-85,African American Studies,1.0,1,1.0
1984-85,Ag & Resource Econ & Pol,18.0,46,0.391304347826087
1984-85,Anthropology,42.0,62,0.6774193548387096
1984-85,Architecture,65.0,186,0.34946236559139787
1984-85,Art Practice,37.0,56,0.6607142857142857
1984-85,Astronomy,,11,
1984-85,Bioengineering,6.0,14,0.42857142857142855
1984-85,Business,145.0,300,0.48333333333333334
1984-85,Chem & Biomolecular Eng,34.0,100,0.34
1984-85,Chemistry,13.0,45,0.28888888888888886
1984-85,Civil & Environmental Eng,25.0,79,0.31645569620253167
1984-85,Classics,4.0,7,0.5714285714285714
1984-85,Comparative Literature,21.0,32,0.65625
1984-85,Earth & Planetary Science,14.0,41,0.34146341463414637
1984-85,East Asian Lang & Culture,9.0,20,0.45
1984-85,Economics,62.0,199,0.31155778894472363
1984-85,Electrical Eng & Computer Sci,37.0,189,0.19576719576719576
1984-85,Engineering Science,4.0,25,0.16
1984-85,English,166.0,294,0.564625850340136
1984-85,"Env Sci, Policy, & Mgmt",61.0,110,0.5545454545454546
1984-85,Ethnic Studies,14.0,21,0.6666666666666666
1984-85,Film and Media,7.0,12,0.5833333333333334
1984-85,French,49.0,64,0.765625
1984-85,Gender & Womens Studies,11.0,11,1.0
1984-85,Geography,17.0,40,0.425
1984-85,German,11.0,21,0.5238095238095238
1984-85,History,91.0,212,0.42924528301886794
1984-85,History of Art,26.0,34,0.7647058823529411
1984-85,Industrial Eng & Ops Research,11.0,31,0.3548387096774194
1984-85,Integrative Biology,63.0,123,0.5121951219512195
1984-85,Interdisc Social Science Pgms,89.0,177,0.5028248587570622
1984-85,Italian Studies,7.0,10,0.7
1984-85,Journalism,,2,
1984-85,L&S Chemistry,2.0,5,0.4
1984-85,L&S Computer Science,43.0,128,0.3359375
1984-85,L&S Legal Studies,26.0,55,0.4727272727272727
1984-85,L&S Social Welfare,40.0,52,0.7692307692307693
1984-85,L&S Undeclared,,1,
1984-85,Landscape Arch & Env Plan,5.0,11,0.45454545454545453
1984-85,Linguistics,17.0,38,0.4473684210526316
1984-85,Materials Science & Eng,7.0,26,0.2692307692307692
1984-85,Mathematics,47.0,151,0.31125827814569534
1984-85,Mechanical Engineering,15.0,126,0.11904761904761904
1984-85,Molecular & Cell Biology,101.0,250,0.404
1984-85,Music,10.0,20,0.5
1984-85,Near Eastern Studies,4.0,10,0.4
1984-85,Nuclear Engineering,2.0,14,0.14285714285714285
1984-85,Nutritional Sciences & Tox,33.0,40,0.825
1984-85,Optometry,24.0,58,0.41379310344827586
1984-85,Other Arts & Humanities Pgms,22.0,34,0.6470588235294118
1984-85,Other Bio Sciences Pgms,37.0,92,0.40217391304347827
1984-85,Other Clg of Natural Res Pgms,9.0,17,0.5294117647058824
1984-85,Other Env Design Programs,5.0,6,0.8333333333333334
1984-85,Other Physical Sciences Pgms,1.0,9,0.1111111111111111
1984-85,Other Social Sciences Programs,60.0,103,0.5825242718446602
1984-85,Philosophy,14.0,42,0.3333333333333333
1984-85,Physics,8.0,74,0.10810810810810811
1984-85,Political Science,137.0,339,0.40412979351032446
1984-85,Psychology,140.0,203,0.6896551724137931
1984-85,Rhetoric,23.0,58,0.39655172413793105
1984-85,Scandinavian,2.0,3,0.6666666666666666
1984-85,Slavic Languages & Literatures,6.0,11,0.5454545454545454
1984-85,Sociology,52.0,88,0.5909090909090909
1984-85,Spanish & Portuguese,18.0,26,0.6923076923076923
1984-85,Statistics,14.0,31,0.45161290322580644
